hostname,n_planets,avg_radius_earth,avg_mass_earth,sy_dist,ra,dec
TOI-1749,3,2.0100000000000002,28.666666666666668,99.5561,282.7372281,64.419466
K2-58,3,2.0033333333333334,4.826666666666667,181.746,333.8218395,-14.049857
Kepler-81,3,2.0,7.806666666666666,348.291,293.6369437,42.8248275
HR 858,3,1.9946666666666666,4.816666666666666,31.964,42.9849779,-30.8140609
HD 63433,3,1.9683333333333337,12.847999999999999,22.4035,117.4793699,27.3631342
Kepler-1669,3,1.9672159666666669,4.8,543.444,297.4303826,39.8478795
Kepler-52,3,1.9633333333333336,89.75916666666667,321.542,286.7380152,49.9757383
Kepler-255,3,1.9533333333333334,4.846666666666667,1052.53,296.0642702,45.9767647
Kepler-290,3,1.9366666666666668,4.668666666666667,694.627,286.4100307,42.6815137
HD 224018,3,1.9100000000000001,6.233333333333334,105.48,358.6390056,-4.7233362
K2-183,3,1.8999999999999997,4.390000000000001,329.041,125.007177,14.0194586
EPIC 206024342,3,1.8999999999999997,4.446666666666666,369.888,331.2771441,-14.1218019
Kepler-174,3,1.8800000000000001,4.253333333333333,384.757,287.4389454,43.8320052
TOI-270,3,1.87,3.9600000000000004,22.4793,68.4160804,-51.9573937
Kepler-60,3,1.8666666666666665,4.066666666666667,1025.1,288.9612535,42.2650472
Kepler-126,3,1.8666666666666665,19.995623253333335,237.401,289.3473634,44.2084445
K2-16,3,1.8633333333333333,4.2700000000000005,334.967,175.0972238,4.5574311
Kepler-250,3,1.8633333333333333,4.24,760.585,289.5947633,44.1418114
K2-136,3,1.8596666666666668,8.466666666666667,59.2474,67.4128615,22.8825674
Wolf 1061,3,1.8533333333333333,4.34,4.30592,247.5748276,-12.6676866
Kepler-130,3,1.8533333333333333,4.373333333333333,316.663,288.4505905,40.2452006
K2-352,3,1.8399999999999999,4.133333333333333,176.051,140.4451478,18.469628
Kepler-336,3,1.83,4.103333333333333,768.86,290.2376224,41.3313637
Kepler-191,3,1.8266666666666669,4.1000000000000005,594.464,291.1833211,45.3230937
K2-165,3,1.8255406333333335,4.233333333333333,134.591,184.9004881,0.968327
Kepler-272,3,1.8233333333333333,60.49666666666667,889.608,299.1275257,47.5938319
Kepler-1073,3,1.8092364966666665,4.016666666666667,809.897,294.1527259,38.2330886
Kepler-217,3,1.8,3.9933333333333336,1104.64,293.0377331,46.2775223
Kepler-114,3,1.7966666666666666,2.5966666666666662,259.533,294.121482,48.3497977
K2-219,3,1.7874558733333334,4.066666666666666,325.4,12.8452963,8.8675474
Kepler-445,3,1.78,4.0233333333333325,127.201,298.7363395,46.4991236
Kepler-331,3,1.7666666666666666,3.78,580.119,291.8343455,39.3073462
GJ 357,3,1.7333333333333334,3.78,9.44181,144.0074644,-21.6650634
Kepler-311,3,1.7266666666666666,3.6733333333333333,778.654,282.0612731,47.0854984
Kepler-372,3,1.7133333333333332,3.6466666666666665,1493.95,291.2562253,49.2589288
K2-3,3,1.7059999999999997,3.33,44.0727,172.3353708,-1.4551364
